# epsilon = 1E-3
# theta  (T0-Te)
1.850000000000000089e+00 1.742700000000008131e-02
1.899999999999999911e+00 1.618699999999995143e-02
1.949999999999999956e+00 1.534799999999991726e-02
2.000000000000000000e+00 1.441099999999995163e-02
2.049999999999999822e+00 1.357900000000045182e-02
2.107447368421052403e+00 1.227400000000056224e-02
2.164894736842104983e+00 1.143800000000005923e-02
2.222342105263157563e+00 9.985000000000354703e-03
2.279789473684210588e+00 9.023000000000447329e-03
2.337236842105263168e+00 7.805000000000283933e-03
2.394684210526315749e+00 7.610000000000116671e-03
2.452131578947368329e+00 6.976000000000315282e-03
2.509578947368420909e+00 6.268000000000384375e-03
2.567026315789473934e+00 5.679000000000211656e-03
2.624473684210526514e+00 4.908000000000356522e-03
2.681921052631579094e+00 4.370000000000651141e-03
2.739368421052631675e+00 3.908000000000466656e-03
2.796815789473684255e+00 3.394000000000563233e-03
2.854263157894736835e+00 2.933000000000074436e-03
2.911710526315789416e+00 2.470000000000194262e-03
2.969157894736841996e+00 2.058000000000337337e-03
3.026605263157895020e+00 1.753000000000337621e-03
3.084052631578947601e+00 1.422000000000256392e-03
3.141500000000000181e+00 1.131000000000437211e-03
